"marka_kodu","tip_kodu","marka_adi","tip_adi","sifir_fiyat_id","eslestirme_yontem","eslestirme_skor","sf_marka_adi","sf_model_adi","sf_versiyon","sf_yakit","sf_vites","sf_guc","sf_liste_fiyati","sf_kampanya_fiyati","sf_scrape_date","updated_at"
"9","1670","AUDI","A6 SEDAN 2.0 TDI 150KW QUATTRO","318","fiyat_exact","100","Audi","A6 Sedan","Base TDI 150 kW quattro","Dizel","Otomatik","201","10255423",,"2026-06-16","2026-06-17T19:01:13.429932+00:00"
"9","1669","AUDI","A6 SEDAN E-HYBRID 270KW QUATTRO","319","fiyat_exact","100","Audi","A6 Sedan","Base e-hybrid quattro 270 kW","Mild Hibrit","Otomatik","362","12291050",,"2026-06-16","2026-06-17T19:01:13.429932+00:00"
"9","1636","AUDI","A6 SPORTBACK E-TRON","329","hp_model","57","Audi","A6 Sportback e-tron","Base e-tron","Elektrik","Otomatik","0","7946971",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1637","AUDI","A6 SPORTBACK E-TRON PERFORMANCE","330","hp_model","65","Audi","A6 Sportback e-tron","Base e-tron performance","Elektrik","Otomatik","0","9210303",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1638","AUDI","A6 SPORTBACK E-TRON QUATTRO","331","hp_model","65","Audi","A6 Sportback e-tron","Base e-tron quattro","Elektrik","Otomatik","0","9618123",,"2026-06-16","2026-06-17T19:01:13.132763+00:00"
"9","1569","AUDI","A8 L 3.0 50 TDI (286) QUATTRO TIPTRONIC PI",,,,,,,,,,,,,"2026-06-17T19:01:12.93382+00:00"
"9","1438","AUDI","A8 L 3.0 55 TFSI 340 QUATTRO TIPTRONIC",,,,,,,,,,,,,"2026-06-17T19:01:12.822051+00:00"
"9","1582","AUDI","A8 L 60 TFSI 4.0 460 MHEV",,,,,,,,,,,,,"2026-06-17T19:01:12.93382+00:00"
"9","1658","AUDI","E-TRON GT QUATTRO FL","343","fiyat_exact","100","Audi","E-tron GT Quattro","Quattro 93.4 kWh (530 BG)","Elektrik","Otomatik","94","11781186",,"2026-06-16","2026-06-17T19:01:13.33338+00:00"
"9","1535","AUDI","Q2 35 TFSI 150 ADVANCED STRONIC PI","306","fiyat_exact","100","Audi","Q2","Advanced 35 Turbo FSI 150 hp S tronic","Benzin","Otomatik","150","3636983",,"2026-06-16","2026-06-17T19:01:12.822051+00:00"
